n;Lista wiązana;Tablica dynamiczna
49603;132682;20
49602;132712;30
49601;132722;30
49600;132752;30
49599;132702;150
49598;132661;30
49597;137691;30
49596;134005;40
49595;132211;30
49594;132692;30
49593;132562;30
49592;132622;30
49591;132621;30
49590;136338;30
49589;132973;30
49588;132682;40
49587;132501;30
49586;132411;40
49585;132702;30
49584;132722;40
49583;132682;150
49582;135788;40
49581;132722;30
49580;132742;40
49579;132692;30
49578;132661;31
49577;132722;30
49576;133323;31
49575;135848;30
49574;132461;30
49573;132621;30
49572;132531;30
49571;132541;41
49570;132692;30
49569;134245;40
49568;134645;20
49567;142871;30
49566;133183;30
49565;132471;30
49564;132351;40
49563;132551;31
49562;132451;30
49561;132221;30
49560;136780;30
49559;132681;30
49558;132612;40
49557;132672;30
49556;132691;31
49555;132602;40
49554;132632;30
49553;132652;40
49552;135938;30
49551;132592;40
49550;132441;30
49549;132491;40
49548;132571;30
49547;132421;30
49546;132591;30
49545;135818;30
49544;132492;30
49543;132662;30
49542;132611;30
49541;132571;30
49540;132622;30
49539;132522;30
49538;132582;30
49537;136249;30
49536;132621;30
49535;132601;240
49534;132562;30
49533;132551;30
49532;132611;30
49531;132491;40
49530;136509;30
49529;132441;40
49528;132601;20
49527;132591;30
49526;132461;30
49525;132501;40
49524;133102;30
49523;132522;30
49522;135968;30
49521;132441;20
49520;132471;30
49519;132541;31
49518;132542;20
49517;132562;30
49516;132462;30
49515;136209;30
49514;132381;30
49513;132281;30
49512;132531;40
49511;132431;20
49510;132441;30
49509;132521;20
49508;132471;30
49507;136178;30
49506;132170;30
49505;132081;30
49504;132412;40
49503;132371;30
49502;132331;30
49501;132441;30
49500;136218;40
49499;132501;30
49498;132421;20
49497;132461;30
49496;132521;30
49495;133774;30
49494;132191;30
49493;132431;30
49492;136378;30
49491;132431;30
49490;132411;30
49489;132341;30
49488;132170;30
49487;132221;160
49486;132331;20
49485;136159;40
49484;132432;20
49483;132402;30
49482;132381;30
49481;132181;30
49480;132341;30
49479;132261;30
49478;132421;30
49477;136128;30
49476;132381;30
49475;132412;30
49474;132412;30
49473;134405;30
49472;134565;30
49471;134816;150
49470;144895;30
49469;133183;40
49468;132572;20
49467;132021;40
49466;132351;30
49465;132211;30
49464;132322;20
49463;136710;30
49462;132161;30
49461;131880;40
49460;132382;20
49459;132351;41
49458;132061;20
