n;Lista wiązana;Tablica dynamiczna
49603;30;78259
49602;30;75123
49601;30;75143
49600;30;75103
49599;30;75123
49598;30;75063
49597;30;75093
49596;30;75143
49595;30;75103
49594;30;75143
49593;30;75113
49592;30;75043
49591;30;75123
49590;30;78038
49589;30;75112
49588;30;75042
49587;30;75092
49586;30;75132
49585;40;75042
49584;30;75052
49583;30;75112
49582;30;75062
49581;41;75122
49580;30;75072
49579;31;75062
49578;30;75072
49577;30;78089
49576;30;75043
49575;30;75083
49574;30;75093
49573;30;75032
49572;30;75102
49571;30;75082
49570;30;75082
49569;30;75062
49568;51;75042
49567;30;75042
49566;30;75043
49565;30;75083
49564;30;78209
49563;30;75063
49562;30;75063
49561;30;75123
49560;30;74962
49559;40;75062
49558;30;75042
49557;30;75092
49556;30;75062
49555;31;75012
49554;30;75113
49553;30;75884
49552;30;75012
49551;30;78188
49550;50;74972
49549;30;75012
49548;30;75053
49547;30;74943
49546;30;75002
49545;30;75002
49544;30;75072
49543;31;75022
49542;40;75053
49541;40;74993
49540;40;75033
49539;30;75022
49538;30;74972
49537;40;78068
49536;30;75003
49535;30;75063
49534;30;75042
49533;30;75032
49532;30;75022
49531;30;75042
49530;30;74982
49529;30;75023
49528;30;75002
49527;30;75002
49526;30;74982
49525;30;74992
49524;30;78149
49523;30;74992
49522;30;74982
49521;30;75002
49520;31;74952
49519;30;74993
49518;30;74942
49517;30;75012
49516;40;74962
49515;40;74943
49514;30;74992
49513;30;74992
49512;30;75032
49511;30;78018
49510;30;74972
49509;30;75002
49508;30;74962
49507;30;75013
49506;40;74993
49505;30;74932
49504;30;74982
49503;31;75002
49502;40;74963
49501;30;74962
49500;30;74922
49499;30;75012
49498;30;77948
49497;30;74972
49496;41;74912
49495;30;74962
49494;30;74942
49493;30;74952
49492;40;74993
49491;30;74922
49490;30;74962
49489;30;75012
49488;40;74923
49487;30;74902
49486;40;74942
49485;30;74983
49484;30;77958
49483;40;74932
49482;30;74912
49481;40;77056
49480;60;75544
49479;30;74952
49478;40;74912
49477;31;74922
49476;30;74942
49475;30;74972
49474;30;74942
49473;40;74872
49472;30;74932
49471;31;78268
49470;40;74932
49469;30;74892
49468;30;74882
49467;30;74922
49466;30;74912
49465;30;74952
49464;30;74902
49463;30;74942
49462;30;74872
49461;30;74893
49460;30;74852
49459;30;74892
49458;50;78288
49457;40;74832
49456;31;74912
49455;40;74922
49454;40;74882
49453;30;74863
49452;40;74912
49451;31;74892
49450;30;74942
49449;30;74912
49448;30;74902
49447;30;74862
49446;30;74822
49445;30;78299
49444;40;74872
49443;30;74852
49442;30;74872
49441;30;74882
49440;30;74832
49439;30;74882
49438;31;74832
49437;30;74862
49436;30;74872
49435;30;74832
49434;40;74842
49433;30;74852
49432;30;77948
49431;50;74892
49430;40;74832
49429;30;74842
49428;30;74822
49427;30;74862
49426;30;74892
49425;30;74842
49424;30;74812
49423;150;74862
49422;30;74852
49421;31;74862
49420;30;74892
49419;30;77888
49418;30;74832
49417;31;74802
49416;30;74822
49415;30;74843
49414;30;74822
49413;40;74842
49412;30;74862
49411;30;74821
49410;30;74802
49409;30;74832
49408;30;74812
49407;30;74832
49406;30;74852
49405;30;81365
49404;40;74782
49403;30;74802
49402;30;74832
49401;30;74812
49400;30;74832
49399;30;74792
49398;30;74792
49397;30;74792
49396;30;74802
49395;30;74832
49394;30;74792
49393;30;74862
49392;30;78068
49391;40;74761
49390;30;74782
49389;40;74752
49388;31;74781
49387;30;74782
49386;30;74832
49385;30;74782
49384;30;74752
49383;40;74771
49382;30;74822
49381;30;74822
49380;30;74732
49379;30;85923
49378;40;74802
49377;40;74762
49376;30;74701
49375;30;74732
49374;30;74762
49373;31;74711
49372;40;74762
49371;30;74722
49370;30;74751
49369;30;74762
49368;30;74752
49367;30;74711
49366;30;77968
49365;40;74772
49364;30;74742
49363;30;74762
49362;30;74802
49361;30;74722
49360;40;74742
49359;30;74772
49358;30;74742
49357;30;74722
49356;40;74742
49355;30;74772
49354;40;74722
49353;30;74652
49352;30;77777
49351;30;74772
49350;30;74752
49349;30;74742
49348;30;74742
49347;30;74732
49346;30;74762
49345;30;74762
49344;30;74742
49343;30;74772
49342;30;74742
49341;30;74722
49340;40;74702
49339;40;77778
49338;30;74752
49337;40;74692
49336;40;74782
49335;30;74691
49334;40;74752
49333;30;74712
49332;30;75624
49331;30;74661
49330;30;74742
49329;30;74652
49328;30;74712
49327;30;74692
49326;31;77968
49325;30;74752
49324;30;74722
49323;30;74701
49322;30;74662
49321;30;74702
49320;30;74702
49319;30;74671
49318;40;74651
49317;30;74722
49316;30;74692
49315;30;74692
49314;30;74681
49313;30;74662
49312;30;77527
49311;40;74671
49310;40;74672
49309;30;74682
49308;30;74662
49307;30;74652
49306;41;74671
49305;30;74661
49304;40;74672
49303;30;74662
49302;30;74672
49301;40;74632
49300;30;74672
49299;30;77767
49298;30;74641
49297;30;74631
49296;30;74662
49295;30;74642
49294;30;74632
49293;30;74662
49292;30;74651
49291;30;74641
49290;30;74651
49289;30;74632
49288;30;74652
49287;30;74612
49286;30;78199
49285;50;74612
49284;30;74602
49283;30;74682
49282;30;74651
49281;30;74621
49280;30;74581
49279;30;74642
49278;30;74602
49277;30;74642
49276;30;74612
49275;40;74612
49274;30;74652
49273;30;77878
49272;40;74591
49271;30;74621
49270;30;74571
49269;30;74622
49268;40;74612
49267;30;74622
49266;30;74582
49265;30;74622
49264;30;74592
49263;30;74632
49262;30;74602
49261;30;74622
49260;30;77517
49259;60;77978
49258;40;74601
49257;40;74591
49256;30;74592
49255;30;74552
49254;30;74582
49253;40;74602
49252;30;74562
49251;30;74602
49250;30;74622
49249;30;74612
49248;30;74612
49247;30;74612
49246;30;77447
49245;30;74622
49244;30;74551
49243;30;74612
49242;30;74612
49241;30;74572
49240;40;74602
49239;30;74592
49238;30;74542
49237;40;74562
