n;Lista wiązana;Tablica dynamiczna
522;50;1072
523;50;1072
524;50;1062
525;60;1082
526;51;1082
527;50;1082
528;50;1082
529;50;1072
530;50;1092
531;51;1092
532;50;1093
533;50;1092
534;50;1092
535;50;1112
536;50;1092
537;50;1102
538;50;1102
539;50;1112
540;50;1112
541;50;1122
542;50;1122
543;51;1102
544;50;1123
545;60;1123
546;50;1112
547;50;1132
548;50;1112
549;50;1122
550;50;1132
551;51;1122
552;50;1133
553;50;1153
554;50;1122
555;50;1132
556;50;1152
557;50;1142
558;50;1142
559;50;1132
560;50;1152
561;51;1152
562;51;1152
563;50;1192
564;50;1152
565;50;1163
566;60;1153
567;50;1163
568;50;1173
569;50;1182
570;50;1172
571;50;1172
572;50;1172
573;50;1182
574;50;1192
575;50;1172
576;140;1193
577;180;1182
578;80;1182
579;81;1202
580;71;1192
581;51;1182
582;51;1202
583;51;1192
584;51;1202
585;51;1182
586;51;1222
587;50;1192
588;50;1222
589;60;1202
590;50;1202
591;60;1202
592;50;1222
593;50;1212
594;50;1212
595;50;1222
596;50;1222
597;50;1232
598;50;1223
599;50;1233
600;50;1233
601;50;1223
602;50;1232
603;51;1232
604;50;1232
605;60;1252
606;50;1232
607;50;1242
608;60;1253
609;60;1253
610;50;1253
611;50;1253
612;50;1242
613;50;1262
614;50;1262
615;50;1252
616;50;1263
617;50;1273
618;50;1273
619;50;1282
620;50;1272
621;50;1282
622;50;1272
623;50;1273
624;50;1273
625;50;1283
626;51;1282
627;50;1272
628;50;1282
629;50;1303
630;60;1273
631;50;1302
632;50;1302
633;50;1282
634;50;1293
635;50;1293
636;51;1322
637;60;1292
638;50;1303
639;50;1303
640;50;1312
641;50;1312
642;50;1323
643;50;1323
644;60;1322
645;50;1322
646;50;1312
647;50;1323
648;50;1322
649;50;1322
650;50;1343
651;50;1333
652;50;1352
653;50;1362
654;50;1333
655;50;1332
656;50;1332
657;50;1343
658;50;1343
659;61;1352
660;50;1363
661;50;1363
662;51;1342
663;50;1342
664;2685;1363
665;51;1352
666;50;1353
667;60;1353
668;50;1372
669;50;1363
670;50;1363
671;51;1382
672;50;1373
673;50;1403
674;60;1382
675;60;1373
676;50;1373
677;50;1382
678;50;1403
679;50;1382
680;50;1383
681;50;1393
682;60;1392
683;50;1413
684;50;1392
685;50;1403
686;50;1403
687;50;1402
688;60;1403
689;60;1402
690;50;1403
691;60;1403
692;50;1402
693;50;1413
694;51;1412
