n;Lista wiązana;Tablica dynamiczna
317;34.73;22.37
318;32.7;23.07
319;33.7;22.77
320;36.4;22.1
321;34.1;22.67
322;34.73;23.4
323;35.03;22.7
324;35.07;23.0
325;36.07;22.33
326;35.1;21.43
327;32.67;23.4
328;34.77;23.03
329;33.7;24.1
330;34.0;26.37
331;35.07;25.07
332;35.73;22.0
333;32.37;25.73
334;35.0;22.37
335;34.73;22.67
336;35.03;22.67
337;36.77;23.4
338;35.0;21.37
339;42.43;23.07
340;53.47;21.7
341;60.8;24.03
342;77.5;22.67
343;42.07;23.0
344;41.03;21.0
345;42.03;24.07
346;42.37;21.67
347;37.1;22.7
348;33.77;23.67
349;34.37;23.1
350;33.37;21.0
351;33.8;24.73
352;34.0;23.33
353;34.73;21.33
354;34.4;23.37
355;34.67;22.0
356;34.03;23.4
357;34.73;23.73
358;35.43;23.5
359;36.53;22.37
360;34.83;23.0
361;35.8;23.37
362;36.0;22.07
363;35.37;22.7
364;34.43;22.37
365;34.67;23.0
366;34.7;22.7
367;35.7;22.37
368;34.07;23.4
369;35.07;23.37
370;35.17;22.37
371;34.47;23.0
372;34.73;22.67
373;33.67;24.07
374;33.7;22.7
375;34.73;22.33
376;33.37;23.37
377;34.03;22.7
378;34.4;22.4
379;33.43;24.07
380;34.13;24.1
381;35.13;23.03
382;35.43;22.03
383;35.43;23.0
384;35.37;22.7
385;36.37;21.67
386;33.4;23.37
387;35.4;22.37
388;34.37;24.17
389;35.4;24.0
390;34.83;23.03
391;35.47;21.73
392;35.43;22.03
393;34.77;22.33
394;35.07;23.07
395;34.7;23.03
396;36.37;22.03
397;33.7;24.33
398;34.77;22.37
399;34.03;24.13
400;35.43;23.07
401;35.77;21.73
402;36.43;21.03
403;34.47;21.7
404;33.4;23.03
405;33.43;23.0
406;35.37;23.37
407;33.33;22.37
408;34.67;23.7
409;34.8;21.67
410;33.07;24.03
411;34.7;22.67
412;34.37;23.73
413;34.77;23.7
414;35.07;21.43
415;33.77;24.33
416;34.5;23.37
417;34.37;24.0
418;34.07;23.37
419;33.33;23.1
420;34.37;23.7
421;35.1;23.0
422;35.03;22.0
423;35.0;23.1
424;34.67;22.77
425;33.47;24.13
426;34.4;24.0
427;34.37;23.07
428;35.67;22.4
429;32.4;23.0
430;35.03;24.37
431;36.67;22.73
432;38.43;22.0
433;36.73;23.03
434;35.7;22.43
435;34.07;23.77
436;34.8;23.07
437;34.4;23.03
438;36.07;22.77
439;35.07;22.7
440;34.5;22.33
441;35.1;22.73
442;35.0;22.07
443;35.73;22.67
444;34.07;21.33
445;34.03;22.43
446;33.03;24.07
447;33.13;25.07
448;34.77;22.43
449;34.73;21.37
450;35.1;23.03
451;33.07;24.7
452;34.73;22.67
453;34.1;23.03
454;33.37;23.03
455;34.07;23.73
456;34.03;23.37
457;34.03;24.13
458;34.07;23.73
459;33.73;22.7
460;33.77;23.07
461;35.43;21.7
462;35.33;22.03
463;35.03;21.03
464;33.7;24.07
465;35.03;21.73
466;34.47;23.07
467;35.1;23.1
468;34.07;23.03
469;33.1;22.03
470;34.37;22.37
471;34.37;23.0
472;36.4;22.03
473;37.0;22.03
474;34.7;23.07
475;36.43;21.37
476;33.43;24.7
477;33.07;24.47
478;32.67;22.43
479;34.17;23.37
480;36.47;21.33
481;35.03;22.33
482;33.73;23.33
483;35.7;23.07
484;34.67;22.0
485;34.77;23.07
486;34.4;22.4
487;33.73;24.33
488;32.77;23.8
489;33.33;23.47
490;34.83;22.33
491;35.13;22.67
492;34.03;23.33
493;34.4;24.33
494;35.03;22.7
495;34.03;22.7
496;34.4;23.33
497;34.37;24.07
498;36.07;23.0
499;41.07;21.73
500;41.07;21.4
501;41.73;23.33
502;36.1;24.03
503;34.7;23.67
504;34.73;22.37
505;35.13;22.0
506;33.67;22.37
507;34.37;21.0
508;33.73;23.53
509;34.37;24.0
510;34.5;21.7
511;34.37;22.4
512;34.33;166.33
513;77.27;24.33
514;33.43;24.03
515;34.7;22.07
516;34.7;22.03
517;35.1;22.4
518;33.37;24.03
519;33.8;23.33
520;35.03;22.43
521;34.67;22.37
522;35.13;23.07
523;35.37;22.43
524;35.5;21.7
525;33.7;24.37
526;35.37;21.7
527;34.73;23.03
528;40.1;22.73
529;53.43;22.67
530;61.07;22.4
531;83.67;23.37
532;41.8;21.7
533;42.03;23.03
534;41.4;23.33
535;41.0;23.07
536;37.7;24.73
537;35.07;22.33
538;36.1;22.73
539;34.7;23.37
540;36.17;21.0
541;35.03;22.73
542;33.37;23.43
543;34.47;23.37
544;35.1;21.33
545;34.47;22.37
546;34.4;24.33
547;35.4;22.43
548;35.0;23.7
549;34.33;22.33
550;33.33;22.37
551;34.73;23.4
552;35.4;23.03
553;32.47;24.07
554;33.77;23.7
555;35.73;22.03
556;33.07;24.0
557;34.43;24.0
558;33.7;22.4
559;34.33;22.67
560;33.37;24.7
561;33.7;24.37
562;37.4;22.0
563;41.37;23.03
564;41.1;23.43
565;42.47;23.4
566;36.1;22.67
567;34.73;22.73
568;33.4;23.33
569;35.77;23.37
570;35.33;23.0
571;34.4;22.7
572;34.33;22.4
573;35.73;22.37
574;35.07;21.7
575;34.07;23.07
576;35.47;23.03
577;40.53;23.7
578;36.43;22.07
579;34.7;24.67
580;36.5;22.37
581;34.33;22.37
582;34.07;22.4
583;32.7;24.37
584;33.73;23.67
585;34.77;23.03
586;35.0;21.73
587;34.77;22.73
588;35.47;23.37
589;33.77;23.03
590;35.37;21.37
591;34.77;22.77
592;34.37;22.37
593;38.1;23.77
594;58.43;23.07
595;71.77;24.03
596;40.1;22.07
597;42.03;22.37
598;41.47;22.0
599;41.73;22.07
600;37.4;23.43
601;33.4;21.7
602;34.8;22.67
603;34.73;22.4
604;34.7;22.4
605;35.33;21.77
606;36.07;21.67
607;35.47;22.8
608;35.03;22.73
609;35.77;22.67
610;36.0;22.4
611;34.0;22.73
612;33.47;23.7
613;35.4;21.03
614;35.4;21.37
615;32.7;24.7
616;35.03;23.07
617;34.0;23.37
618;34.43;23.37
619;34.37;22.7
620;33.73;23.47
621;33.4;22.7
622;34.8;23.67
623;32.07;23.37
624;35.0;22.67
625;35.07;23.37
626;35.73;22.33
627;34.7;23.1
628;34.33;23.73
629;35.17;22.33
630;35.73;22.43
631;34.73;22.8
632;34.77;23.03
633;34.1;23.33
634;35.67;21.7
635;35.0;22.7
636;35.07;22.7
637;35.67;22.33
638;35.07;22.1
639;33.1;23.07
640;35.27;24.73
641;37.07;22.67
642;35.07;23.67
643;35.07;22.67
644;35.03;22.33
645;34.7;22.37
646;34.73;23.0
647;34.7;22.67
648;34.33;22.4
649;34.4;24.17
650;34.77;23.03
651;35.5;22.03
652;32.77;23.0
653;36.4;22.03
654;35.03;22.0
655;35.07;23.33
656;35.0;22.33
657;36.0;21.67
658;33.07;22.73
659;34.73;21.7
660;34.73;23.1
661;36.07;22.07
662;36.77;24.73
663;35.47;23.07
664;34.1;23.67
665;34.73;22.67
666;33.67;24.33
667;35.67;22.4
668;34.67;22.67
669;32.73;22.37
670;33.07;25.07
671;33.43;24.1
672;36.1;23.07
673;34.03;22.03
674;33.1;24.07
675;34.07;22.67
676;34.03;22.67
677;35.7;22.03
678;35.37;23.5
679;34.03;22.33
680;33.87;23.73
681;35.0;21.33
682;33.77;24.8
683;35.1;21.37
684;34.4;23.37
685;34.83;21.67
686;34.1;22.67
687;33.0;24.67
688;35.67;22.0
689;33.07;24.03
690;34.03;23.03
691;35.47;22.07
692;35.0;21.77
693;34.73;22.4
694;35.1;23.77
695;36.77;22.03
696;37.13;22.0
697;34.4;23.67
698;35.33;23.47
699;35.03;23.0
700;36.1;22.03
701;34.33;23.0
702;33.7;23.03
703;34.07;23.4
704;34.8;21.1
705;35.4;22.4
706;34.1;22.03
707;34.4;22.7
708;36.17;22.67
709;35.07;22.73
710;41.37;21.7
711;40.73;23.37
712;40.4;23.4
713;37.07;22.03
714;35.07;22.37
715;34.4;22.43
716;34.03;22.77
717;34.1;22.33
718;35.07;21.67
719;33.77;23.37
720;34.03;22.07
721;33.07;23.0
722;34.07;22.43
723;34.33;21.7
724;33.4;24.1
725;36.03;22.73
726;42.1;22.73
727;44.43;23.1
728;36.07;22.37
729;37.1;21.67
730;37.03;22.33
731;37.03;22.67
732;33.0;24.07
733;34.0;23.4
734;33.07;23.33
735;34.77;23.13
736;34.33;22.33
737;35.5;23.03
738;35.7;21.47
739;34.07;23.37
740;34.1;22.0
741;43.4;24.0
742;81.77;22.7
743;38.4;23.67
744;39.73;23.43
745;39.03;23.03
746;40.17;22.37
747;37.77;23.03
748;35.4;22.33
749;34.43;23.73
750;35.67;22.7
751;34.1;22.37
752;35.07;22.03
753;33.07;23.67
754;34.4;23.7
755;35.7;22.07
756;35.0;23.7
757;34.1;23.03
758;33.7;23.03
759;34.37;23.33
760;36.07;21.07
761;33.4;23.37
762;36.43;21.7
763;34.73;22.1
764;35.13;23.03
765;34.77;22.7
766;35.07;22.37
767;34.37;21.0
768;35.77;21.73
769;33.33;23.03
770;35.07;22.0
771;33.8;22.73
772;33.7;22.33
773;35.1;21.4
774;34.43;22.7
775;33.17;22.33
776;35.1;21.37
777;34.33;22.7
778;34.37;23.07
779;34.43;23.33
780;34.73;22.0
781;33.67;23.73
782;33.03;23.03
783;34.43;22.73
784;35.13;22.5
785;33.73;23.4
786;35.13;23.33
787;35.7;22.67
788;32.7;23.1
789;34.07;22.67
790;35.13;23.0
791;34.37;22.37
792;34.03;23.43
793;34.03;22.37
794;34.13;22.33
795;32.43;23.1
796;33.37;24.43
797;35.5;22.03
798;33.73;21.7
799;34.73;21.7
800;34.4;22.67
801;36.1;22.73
802;34.67;22.4
803;34.43;22.73
804;35.67;23.03
805;35.4;22.03
806;35.5;23.17
807;34.67;22.43
808;36.2;22.03
809;36.07;21.37
810;35.7;22.37
811;35.4;21.67
812;35.07;21.67
813;33.7;22.73
814;35.1;22.43
815;34.73;22.33
816;34.03;22.33
817;33.8;22.8
818;35.0;23.37
819;35.1;22.03
820;33.4;23.37
821;35.37;21.73
822;34.7;22.7
823;34.4;23.37
824;33.67;23.03
825;53.7;23.7
826;39.03;21.87
827;35.4;21.07
828;35.5;22.03
829;36.1;22.7
830;34.73;22.37
831;35.07;23.73
832;35.37;22.37
833;34.77;22.33
834;34.37;21.37
835;35.37;23.07
836;34.37;21.7
837;34.77;22.77
838;34.4;23.4
839;35.07;23.37
840;33.4;22.7
841;34.67;22.0
842;33.77;21.7
843;33.7;23.67
844;34.07;24.37
845;32.7;23.7
846;34.4;23.8
847;34.37;22.37
848;33.73;23.7
849;33.73;22.33
850;34.77;22.0
851;34.4;22.33
852;33.7;22.07
853;34.13;23.37
854;36.43;22.37
855;151.3;22.4
856;34.33;23.37
857;36.73;21.07
858;34.67;21.67
859;34.73;22.73
860;35.03;22.03
861;35.1;22.03
862;33.33;22.37
863;33.4;22.03
864;34.47;23.1
865;34.73;22.7
866;34.07;24.03
867;35.03;21.67
868;34.7;23.67
869;33.37;23.73
870;34.8;23.03
871;33.43;22.7
872;34.03;23.07
873;34.07;23.4
874;33.07;23.37
875;34.47;24.07
876;34.37;23.0
877;33.4;23.07
878;35.0;23.07
879;33.73;24.1
880;34.37;24.03
881;34.7;22.7
882;36.7;21.37
883;35.03;22.73
884;34.07;22.77
885;35.37;22.37
886;34.43;22.03
887;32.77;24.67
888;34.13;24.77
889;33.67;22.7
890;35.1;21.7
891;35.03;22.43
892;35.37;22.03
893;33.77;23.73
894;35.03;22.4
895;35.43;22.37
896;33.07;24.7
897;35.77;21.7
898;35.07;23.37
899;35.1;22.0
900;35.4;20.67
901;33.8;21.67
902;33.67;23.47
903;32.03;23.7
904;34.77;22.33
905;33.07;24.37
906;35.37;22.7
907;32.73;24.73
908;35.47;22.13
909;34.37;22.03
910;34.07;23.33
911;34.07;24.03
912;33.73;22.33
913;35.07;23.0
914;34.37;23.73
915;35.03;23.07
916;34.03;22.67
917;33.17;25.03
918;35.07;22.4
919;35.07;21.43
920;33.07;21.67
921;34.07;22.37
922;148.6;23.43
923;35.8;21.33
924;35.07;22.0
925;35.67;22.03
926;34.33;23.5
927;35.67;22.7
928;35.07;22.67
929;35.13;22.7
930;33.7;24.03
931;35.03;23.03
932;34.07;23.13
933;36.4;21.67
934;35.17;22.67
935;35.0;21.4
936;34.0;22.37
937;34.4;22.37
938;34.07;24.4
939;35.67;22.77
940;32.4;22.67
941;34.57;24.37
942;35.0;21.77
943;34.07;22.77
944;35.5;23.33
945;34.77;22.7
946;33.67;23.33
947;35.4;22.33
948;33.67;23.67
949;34.03;22.67
950;32.7;23.43
951;34.33;23.7
952;35.53;21.33
953;33.13;24.4
