n;Lista wiązana;Tablica dynamiczna
317;35.43;670.93
318;36.03;673.67
319;37.43;677.17
320;34.67;674.67
321;34.73;676.53
322;34.0;681.7
323;35.13;683.87
324;35.67;680.4
325;35.37;685.97
326;34.37;690.63
327;36.1;696.63
328;35.0;699.63
329;34.7;698.0
330;37.1;694.97
331;35.67;705.0
332;33.8;705.2
333;34.7;705.13
334;35.43;708.37
335;34.77;708.27
336;35.13;838.27
337;35.73;714.0
338;37.77;716.1
339;46.7;714.13
340;42.73;719.4
341;70.47;721.7
342;39.0;727.47
343;39.33;727.53
344;126.63;728.37
345;40.03;731.1
346;37.77;732.03
347;35.43;733.0
348;36.1;739.4
349;36.67;739.87
350;34.7;742.43
351;37.13;741.7
352;36.33;748.13
353;37.07;748.43
354;36.03;745.37
355;36.47;747.7
356;35.03;750.83
357;35.43;750.73
358;35.73;756.8
359;36.03;759.4
360;36.73;760.87
361;34.7;763.13
362;35.13;760.43
363;36.07;765.43
364;34.4;771.63
365;35.73;768.73
366;35.37;777.8
367;35.1;772.77
368;34.8;771.47
369;35.7;776.8
370;35.73;782.57
371;36.4;781.57
372;34.4;779.1
373;35.03;908.1
374;36.77;791.87
375;34.03;791.2
376;37.07;793.4
377;35.03;794.77
378;36.73;795.23
379;35.37;801.27
380;36.1;908.47
381;36.4;800.23
382;34.1;805.3
383;36.1;808.3
384;36.13;809.27
385;36.13;811.93
386;35.4;810.97
387;36.4;815.93
388;36.37;818.6
389;34.37;822.27
390;36.33;819.6
391;34.0;825.6
392;35.0;828.93
393;35.7;830.97
394;33.73;832.23
395;36.77;832.93
396;37.8;838.6
397;36.07;833.9
398;35.43;835.13
399;36.07;838.47
400;36.8;841.5
401;34.67;844.87
402;37.5;840.93
403;35.67;845.3
404;35.77;851.6
405;35.7;853.07
406;35.77;850.23
407;36.4;856.67
408;35.37;858.33
409;36.33;863.7
410;35.4;866.67
411;35.8;869.53
412;35.57;865.23
413;35.7;865.2
414;36.1;873.6
415;34.03;869.1
416;35.7;870.73
417;35.4;876.67
418;36.03;880.67
419;34.43;879.3
420;35.43;880.23
421;35.73;887.6
422;36.33;885.57
423;35.37;889.7
424;35.4;890.73
425;38.03;897.2
426;36.37;898.03
427;39.83;895.27
428;36.03;896.7
429;35.37;900.0
430;35.07;903.2
431;36.8;904.77
432;33.1;910.3
433;36.4;907.27
434;34.07;910.93
435;37.37;915.1
436;35.77;912.7
437;33.8;911.07
438;34.13;917.67
439;34.67;922.33
440;35.33;924.47
441;35.07;929.13
442;36.03;926.7
443;35.47;929.93
